x	wf1	wf2	wf3
-20.15625	98.7241	98.4891	98.2401
-20.12695	99.32717	99.09351	98.84593
-20.09766	99.92937	99.69705	99.45089
-20.06836	100.5307	100.2997	100.055
-20.03906	101.1311	100.9015	100.6582
-20.00977	101.7307	101.5024	101.2605
-19.98047	102.3294	102.1024	101.8619
-19.95117	102.9272	102.7015	102.4624
-19.92188	103.5241	103.2998	103.0621
-19.89258	104.1202	103.8972	103.6609
-19.86328	104.7153	104.4937	104.2588
-19.83398	105.3096	105.0893	104.8558
-19.80469	105.903	105.684	105.4519
-19.77539	106.4956	106.2779	106.0472
-19.74609	107.0872	106.8708	106.6415
-19.7168	107.678	107.4629	107.235
-19.6875	108.2679	108.0542	107.8276
-19.6582	108.8569	108.6445	108.4193
-19.62891	109.4451	109.2339	109.0102
-19.59961	110.0324	109.8225	109.6001
-19.57031	110.6187	110.4102	110.1892
-19.54102	111.2043	110.997	110.7774
-19.51172	111.7889	111.583	111.3647
-19.48242	112.3726	112.168	111.9511
-19.45312	112.9555	112.7522	112.5367
-19.42383	113.5375	113.3355	113.1214
-19.39453	114.1186	113.9179	113.7051
-19.36523	114.6989	114.4994	114.288
-19.33594	115.2783	115.0801	114.8701
-19.30664	115.8567	115.6599	115.4512
-19.27734	116.4344	116.2388	116.0315
-19.24805	117.0111	116.8168	116.6108
-19.21875	117.5869	117.3939	117.1893
-19.18945	118.1619	117.9702	117.7669
-19.16016	118.736	118.5456	118.3437
-19.13086	119.3092	119.1201	118.9195
-19.10156	119.8816	119.6937	119.4945
-19.07227	120.4531	120.2664	120.0686
-19.04297	121.0236	120.8383	120.6418
-19.01367	121.5934	121.4093	121.2141
-18.98438	122.1622	121.9794	121.7855
-18.95508	122.7302	122.5486	122.3561
-18.92578	123.2972	123.1169	122.9258
-18.89648	123.8634	123.6844	123.4946
-18.86719	124.4288	124.251	124.0625
-18.83789	124.9932	124.8167	124.6295
-18.80859	125.5568	125.3815	125.1957
-18.7793	126.1195	125.9454	125.7609
-18.75	126.6813	126.5085	126.3253
-18.7207	127.2422	127.0707	126.8888
-18.69141	127.8023	127.632	127.4514
-18.66211	128.3614	128.1924	128.0132
-18.63281	128.9197	128.7519	128.574
-18.60352	129.4772	129.3106	129.134
-18.57422	130.0337	129.8684	129.6931
-18.54492	130.5894	130.4253	130.2513
-18.51562	131.1442	130.9813	130.8087
-18.48633	131.6981	131.5365	131.3651
-18.45703	132.2511	132.0907	131.9207
-18.42773	132.8033	132.6441	132.4754
-18.39844	133.3546	133.1966	133.0292
-18.36914	133.905	133.7483	133.5821
-18.33984	134.4545	134.299	134.1342
-18.31055	135.0032	134.8489	134.6853
-18.28125	135.5509	135.3979	135.2356
-18.25195	136.0978	135.946	135.785
-18.22266	136.6438	136.4932	136.3335
-18.19336	137.189	137.0396	136.8812
-18.16406	137.7332	137.5851	137.4279
-18.13477	138.2766	138.1297	137.9738
-18.10547	138.8191	138.6734	138.5188
-18.07617	139.3608	139.2162	139.0629
-18.04688	139.9015	139.7582	139.6061
-18.01758	140.4414	140.2992	140.1485
-17.98828	140.9804	140.8394	140.6899
-17.95898	141.5185	141.3788	141.2305
-17.92969	142.0557	141.9172	141.7702
-17.90039	142.5921	142.4548	142.3091
-17.87109	143.1276	142.9914	142.847
-17.8418	143.6622	143.5272	143.3841
-17.8125	144.1959	144.0622	143.9202
-17.7832	144.7288	144.5962	144.4555
-17.75391	145.2608	145.1294	144.99
-17.72461	145.7919	145.6616	145.5235
-17.69531	146.3221	146.1931	146.0561
-17.66602	146.8515	146.7236	146.5879
-17.63672	147.3799	147.2532	147.1188
-17.60742	147.9075	147.782	147.6488
-17.57812	148.4342	148.3099	148.1779
-17.54883	148.9601	148.8369	148.7062
-17.51953	149.485	149.363	149.2335
-17.49023	150.0091	149.8883	149.76
-17.46094	150.5323	150.4126	150.2856
-17.43164	151.0546	150.9361	150.8104
-17.40234	151.5761	151.4587	151.3342
-17.37305	152.0967	151.9805	151.8572
-17.34375	152.6164	152.5013	152.3792
-17.31445	153.1352	153.0213	152.9004
-17.28516	153.6531	153.5404	153.4208
-17.25586	154.1702	154.0586	153.9402
-17.22656	154.6864	154.5759	154.4587
-17.19727	155.2017	155.0924	154.9764
-17.16797	155.7161	155.608	155.4932
-17.13867	156.2297	156.1227	156.0091
-17.10938	156.7423	156.6365	156.5241
-17.08008	157.2541	157.1494	157.0383
-17.05078	157.7651	157.6615	157.5515
-17.02148	158.2751	158.1727	158.0639
-16.99219	158.7843	158.683	158.5754
-16.96289	159.2926	159.1924	159.086
