Tf	wirrc_sta	wirrc_tra	fidc_sta	fidc_tra	wirre_sta	wirre_tra	fide_sta	fide_tra
0.79	37.121481	728.183183	0.99902715732	0.89143213636	28.891065	590.669952	0.99923185713	0.88020792223
0.8	36.168365	726.327399	0.99904715303	0.88989813908	28.2039874	588.745064	0.99924413854	0.87876961777
0.81	35.235003	724.451809	0.99906688777	0.88838494785	27.528957	586.8030944	0.99925639003	0.87736332674
0.82	34.320979	722.556539	0.99908636365	0.88689344545	26.8658442	584.8442696	0.99926860195	0.87598981348
0.83	33.425894	720.641719	0.99910558263	0.88542449687	26.2145178	582.8688152	0.99928076514	0.87464980993
0.84	32.549369	718.70748	0.9991245464	0.88397894898	25.5748514	580.8769584	0.99929287089	0.87334401569
0.85	31.69104	716.753953	0.99914325649	0.88255763008	24.9467178	578.8689288	0.99930491094	0.87207309797
0.86	30.850556	714.781272	0.99916171424	0.88116134957	24.3299922	576.8449528	0.99931687749	0.8708376917
0.87	30.027584	712.789573	0.99917992088	0.87979089761	23.7245498	574.8052616	0.9993287632	0.86963839957
0.88	29.221801	710.778989	0.99919787744	0.87844704471	23.1302682	572.7500832	0.9993405612	0.86847579218
0.89	28.432899	708.74966	0.99921558482	0.87713054151	22.5470242	570.6796488	0.99935226501	0.86735040813
0.9	27.660579	706.701724	0.99923304384	0.87584211845	21.974697	568.5941896	0.9993638686	0.86626275423
0.91	26.904554	704.635321	0.99925025517	0.87458248542	21.4131642	566.4939352	0.99937536637	0.86521330567
0.92	26.164548	702.550592	0.99926721946	0.87335233159	20.8623066	564.3791168	0.99938675309	0.86420250621
0.93	25.440292	700.447681	0.99928393721	0.87215232509	20.322005	562.249968	0.999398024	0.86323076841
0.94	24.731522	698.326731	0.99930039396	0.87101332103	19.7921362	560.1067192	0.99940920714	0.86232726546
0.95	24.038003	696.187887	0.99931663476	0.86984532013	19.2725914	557.949604	0.99942020111	0.86140597382
0.96	23.359475	694.031297	0.99933261522	0.86873955081	18.7632434	555.7788536	0.99943109962	0.86055358864
0.97	22.695708	691.857108	0.99934835046	0.86766638672	18.2639786	553.5947008	0.9994418669	0.85974160899
